rt1,resp1,correct1,features_1,features_2,features_3,features_4,features_5,features_6,ExpName,subNo,seqA,seqB,block,trial,trialnum,cuetype,task,subtaskcode,corr_resp1,onsetTime_s,onsetTime_cue,onset_cue,onsetTime_cue_fb,onset_cue_fb
4248,2@,0,52,12,62,22,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,1,1,A1,vest,2,4$,3588.8419943,3596.8515598,8.00956550000001,3601.1228003,12.2808060000002
0,,0,51,11,61,21,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,2,2,B4,weapon,5,7&,3588.8419943,3608.8520831,20.0100888000002,3617.9084386,29.0664443000001
3378,4$,1,52,12,61,21,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,3,3,A1,vest,2,4$,3588.8419943,3625.8523058,37.0103115000002,0,0
3148,3#,1,51,12,62,21,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,4,4,B5,glasses,3,3#,3588.8419943,3636.8553311,48.0133368000002,0,0
6180,9(,1,52,11,62,22,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,5,5,A4,tools,6,9(,3588.8419943,3647.8536295,59.0116352,0,0
2682,9(,1,51,12,62,22,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,6,6,B1,tools,6,9(,3588.8419943,3661.8538466,73.0118523000001,0,0
3123,8*,1,51,12,62,22,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,7,7,A3,helmet,1,8*,3588.8419943,3671.8546651,83.0126708000003,0,0
4687,7&,1,52,12,61,21,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,8,8,B4,weapon,5,7&,3588.8419943,3682.8534672,94.0114729000002,0,0
2120,8*,1,51,12,62,22,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,9,9,A3,helmet,1,8*,3588.8419943,3694.8517775,106.0097832,0,0
2097,8*,1,52,11,62,21,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,10,10,B2,helmet,1,8*,3588.8419943,3704.8529967,116.0110024,0,0
2266,7&,1,51,12,62,21,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,11,11,A5,weapon,5,7&,3588.8419943,3714.8542343,126.01224,0,0
4109,4$,1,51,11,61,22,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,12,12,B3,vest,2,4$,3588.8419943,3724.854735,136.0127407,0,0
2324,4$,1,52,12,61,21,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,13,13,A1,vest,2,4$,3588.8419943,3736.856202,148.0142077,0,0
3962,4$,1,51,12,61,22,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,14,14,B3,vest,2,4$,3588.8419943,3746.8535693,158.011575,0,0
3106,3#,1,52,12,62,21,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,15,15,A2,glasses,3,3#,3588.8419943,3757.8549645,169.0129702,0,0
2274,9(,1,51,11,62,22,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,16,16,B1,tools,6,9(,3588.8419943,3768.8552385,180.0132442,0,0
1704,3#,1,52,12,62,22,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,17,17,A2,glasses,3,3#,3588.8419943,3778.8534923,190.011498,0,0
8601,7&,1,52,11,62,21,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,18,18,B4,weapon,5,7&,3588.8419943,3787.8544701,199.0124758,0,0
1913,8*,1,51,12,62,21,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,19,19,A3,helmet,1,8*,3588.8419943,3803.8551147,215.0131204,0,0
2784,8*,1,52,11,61,21,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,20,20,B2,helmet,1,8*,3588.8419943,3812.8549291,224.0129348,0,0
8005,7&,1,51,12,61,21,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,21,21,A5,weapon,5,7&,3588.8419943,3822.8524314,234.0104371,0,0
3510,3#,1,52,11,62,22,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,22,22,B5,glasses,3,3#,3588.8419943,3838.8538697,250.0118754,0,0
3669,9(,1,51,12,62,22,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,23,23,A4,tools,6,9(,3588.8419943,3849.8533579,261.0113636,0,0
2792,3#,1,51,12,61,21,32,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,24,24,B5,glasses,3,3#,3588.8419943,3860.8517288,272.0097345,0,0
3991,9(,1,51,11,61,22,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,25,25,A4,tools,6,9(,3588.8419943,3870.8547428,282.0127485,0,0
5349,9(,1,51,11,61,22,31,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,26,26,B1,tools,6,9(,3588.8419943,3882.8536973,294.011703,0,0
2140,3#,1,51,12,62,22,31,42,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,27,27,A2,glasses,3,3#,3588.8419943,3895.853517,307.0115227,0,0
2440,9(,1,52,12,62,21,32,41,Abstract_Concrete_6tasks_simseq_2seq_listtask_switchAB_fMRI,456199,23154,51243,1,28,28,B1,tools,6,9(,3588.8419943,3905.8548924,317.0128981,0,0
